# Title: Line and Mean Opacities for Ultra-cool Dwarfs and Extrasolar Planets
# Authors: Freedman R.,  Marley M.S., Lodders K.
# Table: Mean Opacities for [M/H] = 0.0
# Modified by Zifan Lin into rectangular grid
# Empty (low P-T) grid points filled with 75 K, 3.0E+2 dyne/cm2 data
# Pressure, density, kappaR and kappaP are isothermally extended to 1.0e13 Pa (1.0e14 0.1 Pa)
# Temp (K)	Pressure (0.1 Pa)	Density (g/cm3)	kappaR (cm2/g)	kappaP (cm2/g)
1000	3.00E+02	8.5025E-09	7.5276E-05	9.0425E-01
1000	3.00E+03	8.5025E-08	3.1622E-04	9.0359E-01
1000	1.00E+04	2.8342E-07	8.8412E-04	9.0828E-01
1000	3.00E+04	8.5029E-07	2.3567E-03	9.5923E-01
1000	1.00E+05	2.8351E-06	6.6714E-03	1.2312E+00
1000	3.00E+05	8.5089E-06	1.4618E-02	1.6465E+00
1000	1.00E+06	2.8368E-05	2.6198E-02	1.8600E+00
1000	3.00E+06	8.5104E-05	3.9813E-02	1.9043E+00
1000	1.00E+07	2.8369E-04	6.4772E-02	1.9597E+00
1000	3.00E+07	8.5109E-04	1.1051E-01	2.0912E+00
1000	1.00E+08	2.8372E-03	2.2090E-01	2.4575E+00
1000	3.00E+08	8.5113E-03	4.4907E-01	3.3944E+00
1200	3.00E+02	7.0855E-09	2.8958E-04	7.2355E-01
1200	3.00E+03	7.0854E-08	4.3783E-04	7.2384E-01
1200	1.00E+04	2.3618E-07	6.4249E-04	7.2518E-01
1200	3.00E+04	7.0854E-07	1.0357E-03	7.2857E-01
1200	1.00E+05	2.3618E-06	1.9988E-03	7.3935E-01
1200	3.00E+05	7.0858E-06	4.1314E-03	7.9096E-01
1200	1.00E+06	2.3626E-05	1.0297E-02	1.0323E+00
1200	3.00E+06	7.0908E-05	2.1493E-02	1.3871E+00
1200	1.00E+07	2.3640E-04	3.9364E-02	1.5888E+00
1200	3.00E+07	7.0924E-04	7.0416E-02	1.7145E+00
1200	1.00E+08	2.3643E-03	1.5158E-01	2.0675E+00
1200	3.00E+08	7.0930E-03	3.2195E-01	3.0218E+00
1400	3.00E+02	6.0892E-09	1.1701E-03	7.7915E-01
1400	3.00E+03	6.0757E-08	1.0491E-03	6.5472E-01
1400	1.00E+04	2.0247E-07	1.1473E-03	6.2662E-01
1400	3.00E+04	6.0735E-07	1.3936E-03	6.1389E-01
1400	1.00E+05	2.0244E-06	1.9688E-03	6.1371E-01
1400	3.00E+05	6.0732E-06	2.9990E-03	6.2559E-01
1400	1.00E+06	2.0244E-05	5.4423E-03	6.7576E-01
1400	3.00E+06	6.0744E-05	1.0891E-02	8.1657E-01
1400	1.00E+07	2.0256E-04	2.5378E-02	1.1423E+00
1400	3.00E+07	6.0787E-04	5.0881E-02	1.4394E+00
1400	1.00E+08	2.0264E-03	1.1050E-01	1.8319E+00
1400	3.00E+08	6.0796E-03	2.3679E-01	2.8123E+00
1600	3.00E+02	5.3215E-09	2.8675E-03	6.4175E-01
1600	3.00E+03	5.3268E-08	2.8303E-03	6.3881E-01
1600	1.00E+04	1.7760E-07	2.9951E-03	6.4185E-01
1600	3.00E+04	5.3263E-07	3.2440E-03	6.4966E-01
1600	1.00E+05	1.7743E-06	3.9172E-03	6.6978E-01
1600	3.00E+05	5.3180E-06	4.4976E-03	6.5067E-01
1600	1.00E+06	1.7718E-05	6.4212E-03	7.4202E-01
1600	3.00E+06	5.3148E-05	1.0363E-02	8.6814E-01
1600	1.00E+07	1.7717E-04	2.0457E-02	1.0167E+00
1600	3.00E+07	5.3172E-04	4.3070E-02	1.3223E+00
1600	1.00E+08	1.7730E-03	9.7824E-02	1.8462E+00
1600	3.00E+08	5.3195E-03	2.0596E-01	2.8636E+00
1800	3.00E+02	4.6925E-09	5.7990E-03	5.8017E-01
1800	3.00E+03	4.7233E-08	6.1218E-03	5.8328E-01
