Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = +0.3
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = +0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
1800 3E+05 4.7872E-06 1.5812E-02 1.4741E+00 
1800 1E+06 1.5932E-05 2.0211E-02 2.1987E+00 
1800 3E+06 4.7754E-05 2.7114E-02 2.9094E+00 
1800 1E+07 1.5891E-04 3.8266E-02 3.0734E+00 
1800 3E+07 4.7657E-04 6.9643E-02 3.2994E+00 
1800 1E+08 1.5894E-03 1.5499E-01 3.9221E+00 
1800 3E+08 4.7713E-03 3.0529E-01 5.1128E+00 
2000 3E+02 4.1331E-09 1.8198E-02 9.5187E-01 
2000 3E+03 4.2523E-08 1.8926E-02 9.6671E-01 
2000 1E+04 1.4263E-07 1.9717E-02 9.9031E-01 
2000 3E+04 4.2927E-07 2.1068E-02 1.0526E+00 
2000 1E+05 1.4338E-06 2.4034E-02 1.2636E+00 
2000 3E+05 4.3058E-06 2.9311E-02 1.8416E+00 
2000 1E+06 1.4360E-05 3.6898E-02 3.4766E+00 
2000 3E+06 4.3091E-05 4.8245E-02 5.1869E+00 
2000 1E+07 1.4341E-04 6.4587E-02 5.6877E+00 
2000 3E+07 4.3003E-04 9.5539E-02 6.0039E+00 
2000 1E+08 1.4323E-03 1.8564E-01 6.4328E+00 
2000 3E+08 4.2943E-03 3.8578E-01 7.4890E+00 
2300 3E+02 3.0235E-09 2.7713E-02 7.2961E-01 
2300 3E+03 3.4705E-08 3.1712E-02 8.1588E-01 
2300 1E+04 1.1965E-07 3.3159E-02 8.7305E-01 
2300 3E+04 3.6546E-07 3.5043E-02 1.0151E+00 
2300 1E+05 1.2322E-06 3.9029E-02 1.5081E+00 
2300 3E+05 3.7187E-06 4.5860E-02 2.8980E+00 
2300 1E+06 1.2442E-05 6.0133E-02 7.0149E+00 
2300 3E+06 3.7399E-05 8.2605E-02 1.1541E+01 
2300 1E+07 1.2481E-04 1.2493E-01 1.2556E+01 
2300 3E+07 3.7467E-04 1.9761E-01 1.3181E+01 
2300 1E+08 1.2482E-03 3.3446E-01 1.3654E+01 
2300 3E+08 3.7423E-03 5.6286E-01 1.4349E+01 
2600 3E+02 2.0186E-09 1.1393E-02 3.2357E-01 
2600 3E+03 2.5633E-08 4.1146E-02 6.1461E-01 
2600 1E+04 9.4512E-08 4.9473E-02 7.5474E-01 
2600 3E+04 3.0145E-07 5.4786E-02 1.0117E+00 
2600 1E+05 1.0473E-06 6.1295E-02 1.8814E+00 
2600 3E+05 3.2127E-06 7.1321E-02 4.3674E+00 
2600 1E+06 1.0863E-05 9.0513E-02 1.1982E+01 
2600 3E+06 3.2831E-05 1.2112E-01 2.1003E+01 
2600 1E+07 1.0995E-04 1.7969E-01 2.2817E+01 
2600 3E+07 3.3064E-04 2.7926E-01 2.4006E+01 
2600 1E+08 1.1038E-03 5.0560E-01 2.4753E+01 
2600 3E+08 3.3144E-03 9.5774E-01 2.5128E+01 
3000 1E+06 8.9377E-06 1.7641E-01 1.7638E+01 
3000 3E+06 2.7588E-05 2.2499E-01 3.4617E+01 
3000 1E+07 9.3657E-05 3.1480E-01 3.8606E+01 
3000 3E+07 2.8369E-04 4.6515E-01 4.1122E+01 
3000 1E+08 9.5134E-04 7.9957E-01 4.3141E+01 
3000 3E+08 2.8631E-03 1.4500E+00 4.3234E+01 
3500 1E+06 6.5523E-06 3.7213E-01 1.3376E+01 
3500 3E+06 2.1387E-05 5.2063E-01 3.6744E+01 
3500 1E+07 7.5706E-05 7.2273E-01 5.0034E+01 
3500 3E+07 2.3481E-04 1.0102E+00 5.7467E+01 
3500 1E+08 7.9969E-04 1.5834E+00 6.3954E+01 
3500 3E+08 2.4264E-03 2.5688E+00 6.5307E+01 
4000 1E+07 5.8935E-05 1.6198E+00 3.8428E+01 
4000 3E+07 1.9071E-04 2.3353E+00 5.4704E+01 
4000 1E+08 6.7015E-04 3.4261E+00 7.1168E+01 
4000 3E+08 2.0694E-03 4.9512E+00 7.8237E+01 
