# PKCl(GPa),aKCl(Å),T (K),phase,ahcp (Å),chcp (Å),afcc (Å),PFe(GPa)
 52.8 , 3.129 ,2596,g,,, 3.402 , 55.5 
 51.7 , 3.137 ,2831,g,,, 3.409 , 55.5 
 52.8 , 3.136 ,3205,g,,, 3.421 , 55.5 
 52.8 , 3.134 ,2994,g,,, 3.414 , 55.6 
 53.0 , 3.128 ,2581,g, 2.394 , 3.866 , 3.400 , 55.9 
 52.8 , 3.134 ,3026,g,,, 3.413 , 56.1 
 52.9 , 3.129 ,2646,g,,, 3.401 , 56.2 
 51.5 , 3.141 ,3031,g,,, 3.410 , 57.0 
 64.7 , 3.078 ,3084,g,,, 3.384 , 65.5 
 64.6 , 3.076 ,2845,g,,, 3.377 , 65.6 
 64.2 , 3.077 ,2772,g,,, 3.375 , 65.7 
 64.4 , 3.076 ,2726,g,,, 3.372 , 66.3 
 64.9 , 3.077 ,3044,g,,, 3.380 , 66.4 
 64.5 , 3.077 ,2877,g,,, 3.374 , 66.9 
 64.1 , 3.077 ,2692,g,,, 3.368 , 67.3 
 64.4 , 3.078 ,2937,g,,, 3.374 , 67.5 
 74.9 , 3.038 ,3105,g,,, 3.355 , 75.7 
 75.7 , 3.037 ,3400,g,,, 3.352 , 75.7 
 76.0 , 3.034 ,3085,g,,, 3.352 , 76.7 
 76.7 , 3.033 ,3261,g,,, 3.344 , 76.7 
 76.8 , 3.032 ,3255,g,,, 3.345 , 76.8 
 77.1 , 3.032 ,3319,g,,, 3.345 , 77.1 
 77.6 , 3.031 ,3425,g,,, 3.350 , 77.6 
 77.8 , 3.030 ,3425,g,,, 3.349 , 77.8 
 75.5 , 3.033 ,3323,g,,, 3.354 , 78.1 
 76.2 , 3.034 ,3191,g,,, 3.350 , 78.4 
 78.7 , 3.026 ,3376,g,,, 3.346 , 78.7 
 75.3 , 3.039 ,3337,g,,, 3.346 , 78.8 
 76.8 , 3.033 ,3400,g,,, 3.352 , 79.5 
 76.9 , 3.037 ,3368,g,,, 3.351 , 79.6 
 75.7 , 3.038 ,3352,g,,, 3.350 , 79.8 
 52.2 , 3.132 ,2556,g,,,,
 53.0 , 3.127 ,2480,g,,,,
 76.5 , 3.033 ,3230,g,,,,
