# K2-18b_model2_neptune_like
# Calculated total mass (Me): 8.6323368496
# Calculated total radius (Re): 2.6479532256
# Calculated surface pressure (bar): 0.3016368775
# Calculated surface density (kg m-3): 0.0332371821
# Mass at layer boundaries (Me): 1.2820836947 3.8849437859 8.6305908010 8.6323368496
# Radius at layer boundaries (Re): 0.6978512008 1.2764102967 2.4099686078 2.6479532256
# Pressure at layer boundaries (GPa): 1098.3905876140 352.3406063553 0.0466341277 0.0000301637
# Temperature at layer boundaries (K): 8000.0000000000 8000.0000000000 1801.1224160149 255.5069202060
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
6.1343159145e+17	1.8410000000e+04	2.4089740418e+12	23662.5826811118	8000.0000000000	core
6.2350971284e+17	1.8510000000e+04	2.4089737559e+12	23662.5818280450	8000.0000000000	core
6.3369761653e+17	1.8610000000e+04	2.4089734685e+12	23662.5809702809	8000.0000000000	core
6.4399589718e+17	1.8710000000e+04	2.4089731796e+12	23662.5801078196	8000.0000000000	core
6.5440514951e+17	1.8810000000e+04	2.4089728890e+12	23662.5792406609	8000.0000000000	core
6.6492596820e+17	1.8910000000e+04	2.4089725969e+12	23662.5783688048	8000.0000000000	core
6.7555894796e+17	1.9010000000e+04	2.4089723033e+12	23662.5774922515	8000.0000000000	core
6.8630468347e+17	1.9110000000e+04	2.4089720080e+12	23662.5766110009	8000.0000000000	core
6.9716376944e+17	1.9210000000e+04	2.4089717112e+12	23662.5757250529	8000.0000000000	core
7.0813680055e+17	1.9310000000e+04	2.4089714129e+12	23662.5748344076	8000.0000000000	core
7.1922437150e+17	1.9410000000e+04	2.4089711129e+12	23662.5739390650	8000.0000000000	core
7.3042707699e+17	1.9510000000e+04	2.4089708114e+12	23662.5730390251	8000.0000000000	core
7.4174551171e+17	1.9610000000e+04	2.4089705084e+12	23662.5721342879	8000.0000000000	core
7.5318027035e+17	1.9710000000e+04	2.4089702037e+12	23662.5712248534	8000.0000000000	core
7.6473194761e+17	1.9810000000e+04	2.4089698976e+12	23662.5703107215	8000.0000000000	core
7.7640113819e+17	1.9910000000e+04	2.4089695898e+12	23662.5693918924	8000.0000000000	core
7.8818843677e+17	2.0010000000e+04	2.4089692805e+12	23662.5684683659	8000.0000000000	core
8.0009443805e+17	2.0110000000e+04	2.4089689696e+12	23662.5675401421	8000.0000000000	core
8.1211973672e+17	2.0210000000e+04	2.4089686571e+12	23662.5666072211	8000.0000000000	core
8.2426492748e+17	2.0310000000e+04	2.4089683431e+12	23662.5656696027	8000.0000000000	core
8.3653060502e+17	2.0410000000e+04	2.4089680275e+12	23662.5647272869	8000.0000000000	core
8.4891736404e+17	2.0510000000e+04	2.4089677104e+12	23662.5637802739	8000.0000000000	core
8.6142579922e+17	2.0610000000e+04	2.4089673917e+12	23662.5628285636	8000.0000000000	core
8.7405650526e+17	2.0710000000e+04	2.4089670714e+12	23662.5618721559	8000.0000000000	core
8.8681007685e+17	2.0810000000e+04	2.4089667495e+12	23662.5609110510	8000.0000000000	core
8.9968710868e+17	2.0910000000e+04	2.4089664261e+12	23662.5599452487	8000.0000000000	core
9.1268819545e+17	2.1010000000e+04	2.4089661012e+12	23662.5589747491	8000.0000000000	core
9.2581393185e+17	2.1110000000e+04	2.4089657746e+12	23662.5579995522	8000.0000000000	core
9.3906491257e+17	2.1210000000e+04	2.4089654465e+12	23662.5570196580	8000.0000000000	core
9.5244173231e+17	2.1310000000e+04	2.4089651168e+12	23662.5560350665	8000.0000000000	core
