# K2-18b_model3_water_world
# Calculated total mass (Me): 8.6331802325
# Calculated total radius (Re): 2.6808679956
# Calculated surface pressure (bar): 0.6042639129
# Calculated surface density (kg m-3): 0.0667140091
# Mass at layer boundaries (Me): 0.2849123666 0.8633402757 8.6326627612 8.6331802325
# Radius at layer boundaries (Re): 0.4479375294 0.7869894836 2.5884649192 2.6808679956
# Pressure at layer boundaries (GPa): 699.4086478342 467.4492765930 0.0110593749 0.0000604264
# Temperature at layer boundaries (K): 5500.0000000000 5500.0000000000 721.0374590093 254.9000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
2.1645845426e+25	1.0462410000e+07	1.9054269892e+11	3381.6328442980	4179.2187095805	water
2.1646310584e+25	1.0462510000e+07	1.9053823575e+11	3381.6071454137	4179.1927577534	water
2.1646775746e+25	1.0462610000e+07	1.9053377261e+11	3381.5814466782	4179.1668058299	water
2.1647240914e+25	1.0462710000e+07	1.9052930948e+11	3381.5557480917	4179.1408538099	water
2.1647706087e+25	1.0462810000e+07	1.9052484639e+11	3381.5300496539	4179.1149016935	water
2.1648171266e+25	1.0462910000e+07	1.9052038331e+11	3381.5043513651	4179.0889494806	water
2.1648636450e+25	1.0463010000e+07	1.9051592026e+11	3381.4786532251	4179.0629971713	water
2.1649101639e+25	1.0463110000e+07	1.9051145723e+11	3381.4529552339	4179.0370447655	water
2.1649566834e+25	1.0463210000e+07	1.9050699423e+11	3381.4272573916	4179.0110922633	water
2.1650032034e+25	1.0463310000e+07	1.9050253124e+11	3381.4015596982	4178.9851396646	water
2.1650497240e+25	1.0463410000e+07	1.9049806829e+11	3381.3758621537	4178.9591869694	water
2.1650962451e+25	1.0463510000e+07	1.9049360535e+11	3381.3501647580	4178.9332341777	water
2.1651427667e+25	1.0463610000e+07	1.9048914244e+11	3381.3244675112	4178.9072812895	water
2.1651892888e+25	1.0463710000e+07	1.9048467955e+11	3381.2987704132	4178.8813283047	water
2.1652358115e+25	1.0463810000e+07	1.9048021669e+11	3381.2730734641	4178.8553752235	water
2.1652823347e+25	1.0463910000e+07	1.9047575384e+11	3381.2473766639	4178.8294220458	water
2.1653288585e+25	1.0464010000e+07	1.9047129103e+11	3381.2216800126	4178.8034687715	water
2.1653753828e+25	1.0464110000e+07	1.9046682823e+11	3381.1959835101	4178.7775154007	water
2.1654219076e+25	1.0464210000e+07	1.9046236546e+11	3381.1702871565	4178.7515619334	water
2.1654684330e+25	1.0464310000e+07	1.9045790271e+11	3381.1445909518	4178.7256083695	water
2.1655149589e+25	1.0464410000e+07	1.9045343999e+11	3381.1188948960	4178.6996547090	water
