# Earth_adiabatic_iron_silicate_2layer
# Calculated total mass (Me): 0.9998795466
# Calculated total radius (Re): 0.9868325224
# Calculated surface pressure (bar): 14.0129496395
# Calculated surface density (kg m-3): 3359.5000000000
# Mass at layer boundaries (Me): 0.3250077055 0.9998795466
# Radius at layer boundaries (Re): 0.5154151625 0.9868325224
# Pressure at layer boundaries (GPa): 152.3542098369 0.0014012950
# Temperature at layer boundaries (K): 4231.1583516629 2581.6548129777
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
5.1886144600e+20	2.0321000000e+05	4.3284247898e+11	14768.2513394483	5495.6680328276	N/A
5.1962779940e+20	2.0331000000e+05	4.3284124048e+11	14768.2413747135	5495.6637626115	N/A
5.2039490672e+20	2.0341000000e+05	4.3284000137e+11	14768.2314050797	5495.6594902897	N/A
5.2116276833e+20	2.0351000000e+05	4.3283876166e+11	14768.2214305470	5495.6552158621	N/A
5.2193138459e+20	2.0361000000e+05	4.3283752133e+11	14768.2114511154	5495.6509393288	N/A
5.2270075588e+20	2.0371000000e+05	4.3283628040e+11	14768.2014667849	5495.6466606897	N/A
5.2347088256e+20	2.0381000000e+05	4.3283503885e+11	14768.1914775555	5495.6423799448	N/A
5.2424176500e+20	2.0391000000e+05	4.3283379670e+11	14768.1814834272	5495.6380970942	N/A
5.2501340359e+20	2.0401000000e+05	4.3283255394e+11	14768.1714844001	5495.6338121377	N/A
5.2578579867e+20	2.0411000000e+05	4.3283131057e+11	14768.1614804742	5495.6295250755	N/A
5.2655895063e+20	2.0421000000e+05	4.3283006660e+11	14768.1514716494	5495.6252359075	N/A
5.2733285984e+20	2.0431000000e+05	4.3282882201e+11	14768.1414579258	5495.6209446336	N/A
5.2810752666e+20	2.0441000000e+05	4.3282757682e+11	14768.1314393034	5495.6166512540	N/A
5.2888295146e+20	2.0451000000e+05	4.3282633101e+11	14768.1214157823	5495.6123557686	N/A
5.2965913462e+20	2.0461000000e+05	4.3282508460e+11	14768.1113873624	5495.6080581774	N/A
5.3043607651e+20	2.0471000000e+05	4.3282383758e+11	14768.1013540437	5495.6037584803	N/A
5.3121377748e+20	2.0481000000e+05	4.3282258995e+11	14768.0913158264	5495.5994566775	N/A
5.3199223793e+20	2.0491000000e+05	4.3282134171e+11	14768.0812727103	5495.5951527688	N/A
5.3277145820e+20	2.0501000000e+05	4.3282009287e+11	14768.0712246956	5495.5908467543	N/A
5.3355143868e+20	2.0511000000e+05	4.3281884341e+11	14768.0611717821	5495.5865386339	N/A
5.3433217973e+20	2.0521000000e+05	4.3281759335e+11	14768.0511139700	5495.5822284077	N/A
5.3511368173e+20	2.0531000000e+05	4.3281634268e+11	14768.0410512593	5495.5779160757	N/A
5.3589594504e+20	2.0541000000e+05	4.3281509140e+11	14768.0309836499	5495.5736016379	N/A
5.3667897003e+20	2.0551000000e+05	4.3281383951e+11	14768.0209111419	5495.5692850942	N/A
5.3746275708e+20	2.0561000000e+05	4.3281258702e+11	14768.0108337354	5495.5649664446	N/A
5.3824730655e+20	2.0571000000e+05	4.3281133391e+11	14768.0007514302	5495.5606456892	N/A
5.3903261881e+20	2.0581000000e+05	4.3281008020e+11	14767.9906642265	5495.5563228279	N/A
