#P (Pa)	rho (kg/m3)
6.581071304500e+09	2.660932186437e+03
6.618431097802e+09	2.664732946589e+03
6.655943704779e+09	2.668533706741e+03
6.693609492351e+09	2.672334466893e+03
6.731428827577e+09	2.676135227045e+03
6.769402077653e+09	2.679935987197e+03
6.807529609910e+09	2.683736747349e+03
6.845811791819e+09	2.687537507502e+03
6.884248990982e+09	2.691338267654e+03
6.922841575136e+09	2.695139027806e+03
6.961589912152e+09	2.698939787958e+03
7.000494370029e+09	2.702740548110e+03
7.039555316900e+09	2.706541308262e+03
7.078773121025e+09	2.710342068414e+03
7.118148150793e+09	2.714142828566e+03
7.157680774721e+09	2.717943588718e+03
7.197371361451e+09	2.721744348870e+03
7.237220279750e+09	2.725545109022e+03
7.277227898511e+09	2.729345869174e+03
