# SiC (zinc-blende structure) EOS from Miozzi et al. (2018)
# Note that the zinc-blende to rock-salt phase transition occurs around 65-70 GPa
# Should switch to rock-salt EOS above that pressure
# Pressure (Pa)	Density (kg/m^3)
4.2362606532e+10	3.7050986436e+03
4.2444509029e+10	3.7058829557e+03
4.2526457683e+10	3.7066672678e+03
4.2608452502e+10	3.7074515799e+03
4.2690493494e+10	3.7082358920e+03
4.2772580665e+10	3.7090202042e+03
4.2854714023e+10	3.7098045163e+03
4.2936893577e+10	3.7105888284e+03
4.3019119332e+10	3.7113731405e+03
4.3101391297e+10	3.7121574526e+03
4.3183709479e+10	3.7129417647e+03
4.3266073886e+10	3.7137260769e+03
4.3348484524e+10	3.7145103890e+03
4.3430941403e+10	3.7152947011e+03
4.3513444528e+10	3.7160790132e+03
4.3595993908e+10	3.7168633253e+03
4.3678589550e+10	3.7176476375e+03
4.3761231461e+10	3.7184319496e+03
4.3843919649e+10	3.7192162617e+03
4.3926654121e+10	3.7200005738e+03
4.4009434886e+10	3.7207848859e+03
4.4092261949e+10	3.7215691980e+03
4.4175135319e+10	3.7223535102e+03
4.4258055004e+10	3.7231378223e+03
4.4341021010e+10	3.7239221344e+03
4.4424033345e+10	3.7247064465e+03
4.4507092017e+10	3.7254907586e+03
4.4590197033e+10	3.7262750708e+03
4.4673348401e+10	3.7270593829e+03
4.4756546127e+10	3.7278436950e+03
4.4839790220e+10	3.7286280071e+03
4.4923080686e+10	3.7294123192e+03
4.5006417534e+10	3.7301966313e+03
4.5089800771e+10	3.7309809435e+03
4.5173230404e+10	3.7317652556e+03
4.5256706441e+10	3.7325495677e+03
4.5340228889e+10	3.7333338798e+03
4.5423797755e+10	3.7341181919e+03
4.5507413047e+10	3.7349025041e+03
4.5591074773e+10	3.7356868162e+03
4.5674782940e+10	3.7364711283e+03
4.5758537555e+10	3.7372554404e+03
4.5842338626e+10	3.7380397525e+03
4.5926186160e+10	3.7388240646e+03
4.6010080165e+10	3.7396083768e+03
4.6094020648e+10	3.7403926889e+03
4.6178007617e+10	3.7411770010e+03
4.6262041078e+10	3.7419613131e+03
4.6346121041e+10	3.7427456252e+03
4.6430247511e+10	3.7435299374e+03
