# SiC (rock-salt structure) EOS
# low-density (below 7000.826816 kg/m^3) data come from Miozzi et al. (2018)
# high-density (above 7000.826816 kg/m^3) data come from Wilson & Militzer (2014)
# Pressure (Pa)	Density (kg/m^3)
1.2137335038e+11	5.1609198371e+03
1.2176343991e+11	5.1639066991e+03
1.2215389486e+11	5.1668935611e+03
1.2254471512e+11	5.1698804231e+03
1.2293590057e+11	5.1728672851e+03
1.2332745108e+11	5.1758541470e+03
1.2371936654e+11	5.1788410090e+03
1.2411164681e+11	5.1818278710e+03
1.2450429178e+11	5.1848147330e+03
1.2489730133e+11	5.1878015950e+03
1.2529067533e+11	5.1907884569e+03
1.2568441367e+11	5.1937753189e+03
1.2607851621e+11	5.1967621809e+03
1.2647298285e+11	5.1997490429e+03
1.2686781345e+11	5.2027359048e+03
1.2726300789e+11	5.2057227668e+03
1.2765856606e+11	5.2087096288e+03
1.2805448783e+11	5.2116964908e+03
1.2845077308e+11	5.2146833528e+03
1.2884742169e+11	5.2176702147e+03
1.2924443354e+11	5.2206570767e+03
1.2964180850e+11	5.2236439387e+03
1.3003954645e+11	5.2266308007e+03
1.3043764727e+11	5.2296176627e+03
1.3083611085e+11	5.2326045246e+03
1.3123493705e+11	5.2355913866e+03
1.3163412576e+11	5.2385782486e+03
1.3203367685e+11	5.2415651106e+03
1.3243359021e+11	5.2445519726e+03
1.3283386571e+11	5.2475388345e+03
1.3323450323e+11	5.2505256965e+03
1.3363550264e+11	5.2535125585e+03
1.3403686384e+11	5.2564994205e+03
1.3443858669e+11	5.2594862824e+03
1.3484067108e+11	5.2624731444e+03
1.3524311688e+11	5.2654600064e+03
1.3564592398e+11	5.2684468684e+03
1.3604909224e+11	5.2714337304e+03
1.3645262156e+11	5.2744205923e+03
1.3685651180e+11	5.2774074543e+03
1.3726076285e+11	5.2803943163e+03
1.3766537458e+11	5.2833811783e+03
1.3807034688e+11	5.2863680403e+03
1.3847567963e+11	5.2893549022e+03
1.3888137269e+11	5.2923417642e+03
1.3928742596e+11	5.2953286262e+03
1.3969383931e+11	5.2983154882e+03
1.4010061262e+11	5.3013023502e+03
1.4050774576e+11	5.3042892121e+03
1.4091523863e+11	5.3072760741e+03
1.4132309108e+11	5.3102629361e+03
1.4173130302e+11	5.3132497981e+03
1.4213987431e+11	5.3162366600e+03
