# Graphite EOS from Seager et al. (2007)
# Fitted to 3rd order BME EOS, rho0=2.25 g/cm3, K0 = 33.8 GPa, K'0 = 8.9
# Pressure (Pa)	Density (kg/m^3)
1.2858212124e+10	2.6947223612e+03
1.2897640204e+10	2.6955977989e+03
1.2937131477e+10	2.6964732366e+03
1.2976685989e+10	2.6973486743e+03
1.3016303786e+10	2.6982241121e+03
1.3055984915e+10	2.6990995498e+03
1.3095729422e+10	2.6999749875e+03
1.3135537352e+10	2.7008504252e+03
1.3175408752e+10	2.7017258629e+03
1.3215343668e+10	2.7026013007e+03
1.3255342146e+10	2.7034767384e+03
1.3295404232e+10	2.7043521761e+03
1.3335529972e+10	2.7052276138e+03
1.3375719413e+10	2.7061030515e+03
1.3415972601e+10	2.7069784892e+03
1.3456289581e+10	2.7078539270e+03
1.3496670400e+10	2.7087293647e+03
1.3537115104e+10	2.7096048024e+03
1.3577623740e+10	2.7104802401e+03
1.3618196353e+10	2.7113556778e+03
1.3658832989e+10	2.7122311156e+03
1.3699533695e+10	2.7131065533e+03
1.3740298517e+10	2.7139819910e+03
1.3781127501e+10	2.7148574287e+03
1.3822020694e+10	2.7157328664e+03
1.3862978140e+10	2.7166083042e+03
1.3903999888e+10	2.7174837419e+03
1.3945085983e+10	2.7183591796e+03
1.3986236470e+10	2.7192346173e+03
1.4027451397e+10	2.7201100550e+03
1.4068730810e+10	2.7209854927e+03
1.4110074754e+10	2.7218609305e+03
1.4151483276e+10	2.7227363682e+03
1.4192956423e+10	2.7236118059e+03
1.4234494240e+10	2.7244872436e+03
1.4276096773e+10	2.7253626813e+03
1.4317764070e+10	2.7262381191e+03
1.4359496176e+10	2.7271135568e+03
1.4401293137e+10	2.7279889945e+03
1.4443155001e+10	2.7288644322e+03
1.4485081812e+10	2.7297398699e+03
1.4527073617e+10	2.7306153077e+03
1.4569130463e+10	2.7314907454e+03
1.4611252396e+10	2.7323661831e+03
1.4653439462e+10	2.7332416208e+03
1.4695691707e+10	2.7341170585e+03
1.4738009178e+10	2.7349924962e+03
1.4780391921e+10	2.7358679340e+03
1.4822839982e+10	2.7367433717e+03
1.4865353408e+10	2.7376188094e+03
1.4907932245e+10	2.7384942471e+03
1.4950576539e+10	2.7393696848e+03
1.4993286337e+10	2.7402451226e+03
1.5036061684e+10	2.7411205603e+03
1.5078902628e+10	2.7419959980e+03
1.5121809214e+10	2.7428714357e+03
1.5164781490e+10	2.7437468734e+03
1.5207819500e+10	2.7446223112e+03
1.5250923292e+10	2.7454977489e+03
1.5294092912e+10	2.7463731866e+03
1.5337328407e+10	2.7472486243e+03
1.5380629822e+10	2.7481240620e+03
1.5423997204e+10	2.7489994997e+03
1.5467430600e+10	2.7498749375e+03
1.5510930055e+10	2.7507503752e+03
1.5554495617e+10	2.7516258129e+03
1.5598127331e+10	2.7525012506e+03
1.5641825244e+10	2.7533766883e+03
1.5685589402e+10	2.7542521261e+03
1.5729419852e+10	2.7551275638e+03
1.5773316641e+10	2.7560030015e+03
1.5817279814e+10	2.7568784392e+03
1.5861309418e+10	2.7577538769e+03
1.5905405499e+10	2.7586293147e+03
1.5949568104e+10	2.7595047524e+03
1.5993797280e+10	2.7603801901e+03
1.6038093072e+10	2.7612556278e+03
1.6082455527e+10	2.7621310655e+03
1.6126884692e+10	2.7630065033e+03
1.6171380613e+10	2.7638819410e+03
1.6215943337e+10	2.7647573787e+03
1.6260572909e+10	2.7656328164e+03
1.6305269377e+10	2.7665082541e+03
1.6350032786e+10	2.7673836918e+03
1.6394863184e+10	2.7682591296e+03
1.6439760617e+10	2.7691345673e+03
1.6484725131e+10	2.7700100050e+03
1.6529756773e+10	2.7708854427e+03
1.6574855589e+10	2.7717608804e+03
1.6620021626e+10	2.7726363182e+03
1.6665254930e+10	2.7735117559e+03
1.6710555548e+10	2.7743871936e+03
1.6755923526e+10	2.7752626313e+03
1.6801358911e+10	2.7761380690e+03
1.6846861749e+10	2.7770135068e+03
1.6892432087e+10	2.7778889445e+03
1.6938069971e+10	2.7787643822e+03
1.6983775448e+10	2.7796398199e+03
1.7029548565e+10	2.7805152576e+03
1.7075389367e+10	2.7813906953e+03
1.7121297902e+10	2.7822661331e+03
1.7167274216e+10	2.7831415708e+03
1.7213318356e+10	2.7840170085e+03
